,index,weight,indate,comments,date
368,487,63.3,30-12-16,,2016-12-30
369,487,63.0,31-12-16,,2016-12-31
370,487,63.5,1-01-17,,2017-01-01
371,487,62.6,2-01-17,,2017-01-02
372,487,63.0,3-01-17,,2017-01-03
373,487,63.3,6-01-17,,2017-01-06
374,487,63.5,7-01-17,,2017-01-07
375,487,63.0,8-01-17,,2017-01-08
376,487,62.7,9-01-17,,2017-01-09
377,487,63.1,12-01-17,,2017-01-12
378,487,62.8,13-01-17,,2017-01-13
378,487,62.2,14-01-17,,2017-01-14
