Index,date,weight,comments
512,2017-01-01,63.5,
513,2017-01-02,62.6,
514,2017-01-03,63.0,
515,2017-01-06,63.3,
516,2017-01-07,63.5,
517,2017-01-08,63.0,
518,2017-01-09,62.7,
519,2017-01-12,63.1,
520,2017-01-13,62.8,
521,2017-01-14,62.2,
522,2017-01-15,62.9,
523,2017-01-16,63.3,
524,2017-01-17,63.2,
525,2017-01-19,62.8,
526,2017-01-20,63.0,
527,2017-01-23,63.3,
528,2017-01-24,63.3,
529,2017-01-25,63.1,
530,2017-01-26,62.8,
531,2017-01-27,63.0,
532,2017-01-29,63.4,
533,2017-01-30,62.9,
534,2017-01-31,62.8,
535,2017-01-31,62.7,
536,2017-02-03,63.8,
537,2017-02-04,63.0,
538,2017-02-05,63.8,
539,2017-02-06,63.4,
540,2017-02-07,62.7,
